CASEID,ecfkey,weight,region,fmsz27,dvfmcomp,ecfsz0004,ecfsz0517,ecfsz1824,ecfsz2544,ecfsz4564,ecfsz65pl,nbear27,attcrc,dvfcrn,attcrp,attcrr,attsel,attpayday,attpaw,attfas,dvfrspst,attrsp,attrsa,attrsh,attrsl,attrsr,attbud,dvfatt5h,dvfatt5k,attspd,attsit,mjsif27,mtinc27, atinc27 ,gtr27,rtretire,rtreph,rtrepfr,rtresfs,rtreman,rtreyrs,rtreinc,rtreloff,rtreoth,rtretwk,rtretwkt,rtplnage,rtplnnot,ecfexchr,ecfexhmr,ecfexvhr,ecfexanm,dvftenur,ecfdwelltp,watotpt,watotpg,wastdept,wastmuic,wastbond,waststck,wastoinp,warrspl,warrif,waprval,wastrest,wastvhle,wastonof,warppt,warppg,waotpen,busind,wbuseq,wdtotal,wdprmor,wdstomor,wdstcred,wdsloan,wdstvhln,wdstloc,wdstodbt,wnetwpt,wnetwpg,ecpage,dvphlv2g,hcsex_r
1,1,1508.6008,2,3,2,0,0,1,0,1,0,1,1,1,1,9,2,2,2,1,1,1,2,2,2,2,1,4,4,3,3,3,340000,"217,200.00",7500,2,9,9,9,9,9,9,9,9,9,9,58,9,0,7750,1250,8500,1,1,1775000,1775000,2000,675000,0,0,0,675000,0,280000,0,33000,110000,0,0,0,2,0,82500,0,0,0,0,0,0,82500,1692500,1692500,51,4,1
2,2,38.4682,4,1,1,0,0,0,0,0,1,0,1,1,1,9,2,2,2,2,2,1,1,2,2,2,1,1,1,2,7,6,20500,"30,425.00",15500,1,2,1,2,2,2,2,2,2,2,9,999,9,0,13500,875,0,1,3,782250,782250,80000,0,0,0,0,0,400000,290000,0,7500,4750,0,0,0,2,0,0,0,0,0,0,0,0,0,782250,782250,72,1,2
3,3,1240.9793,1,2,2,0,0,0,0,0,1,0,1,1,1,9,2,2,2,1,3,2,9,9,9,9,1,1,3,3,3,4,0,"22,000.00",22000,1,1,2,2,2,2,2,2,2,2,9,999,9,0,4500,950,0,1,1,122750,122750,25000,0,0,0,0,0,0,87500,0,5250,5000,0,0,0,2,0,100,0,0,100,0,0,0,0,122650,122650,80,1,1
4,4,1406.2285,4,5,3,7,7,7,7,7,7,3,1,3,1,9,2,2,2,2,1,1,2,2,2,2,1,1,1,3,2,2,165000,"119,750.00",350,2,9,9,9,9,9,9,9,9,9,9,55,9,0,10500,2200,0,1,1,1112000,1112000,20000,0,0,0,18000,525000,0,350000,0,48000,21000,0,0,0,1,130000,20000,0,0,0,0,20000,0,0,1092000,1092000,48,2,1
5,5,1836.7465,4,3,2,0,0,1,0,1,0,3,1,1,1,9,2,2,2,2,1,1,2,2,2,2,2,1,4,3,3,2,95000,"76,925.00",0,1,2,2,2,2,2,1,2,2,1,1,999,9,0,7500,1500,0,1,1,981400,981400,57500,5000,2500,0,3900,24000,0,100000,0,8500,30000,750000,750000,0,2,0,0,0,0,0,0,0,0,0,981400,981400,56,2,1
6,6,2372.7536,5,5,3,7,7,7,7,7,7,3,1,1,1,9,2,2,2,1,1,1,2,2,2,2,2,4,4,2,3,3,-320000,"-318,325.00",9250,9,9,9,9,9,9,9,9,9,9,9,999,9,0,125000,2200,0,2,1,5402000,5431000,120000,0,0,0,20000,155000,0,850000,2300000,50000,21000,36000,65000,0,1,1850000,1895250,440000,1450000,5250,0,0,0,0,3506750,3535750,39,1,1
7,7,1289.2655,1,3,2,0,0,1,0,1,0,3,1,1,1,9,2,2,2,1,2,1,2,1,2,2,2,1,3,3,1,2,70000,"61,200.00",3700,1,2,2,2,1,2,2,2,2,1,2,999,9,0,8750,1200,2500,2,2,471000,491000,1000,0,0,0,0,1250,0,72500,0,6250,50000,340000,360000,0,2,0,57200,32000,0,0,19000,4000,0,2200,413800,433800,51,3,1
8,8,4296.3527,2,4,5,0,0,1,1,1,0,2,1,1,1,9,2,2,2,1,2,1,2,2,2,1,2,1,4,2,3,3,43000,"44,850.00",1850,9,9,9,9,9,9,9,9,9,9,9,999,9,0,5500,0,0,1,1,383540,383580,10000,0,0,0,0,0,0,340000,0,14500,19000,40,80,0,2,0,9450,0,0,1450,0,8000,0,0,374090,374130,25,4,2
9,9,1079.761,1,1,1,0,0,0,0,0,1,0,1,2,2,9,2,2,2,2,3,2,9,9,9,9,1,3,3,3,3,6,28000,"34,075.00",13000,1,2,1,2,2,2,2,2,2,2,9,999,9,0,7750,6250,2400,3,2,317450,327450,2200,0,0,0,0,0,0,0,0,0,5250,310000,320000,0,2,0,29000,0,0,5000,0,0,24000,0,288450,298450,76,3,1
10,10,508.2662,4,1,1,0,0,1,0,0,0,1,2,9,9,1,2,2,2,2,3,2,9,9,9,9,2,1,2,1,1,2,18500,"17,150.00",350,9,9,9,9,9,9,9,9,9,9,9,999,9,0,7250,9500,0,3,2,1000,1000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,2,0,16500,0,0,8000,3500,0,5000,0,-15500,-15500,21,1,1
11,11,1210.6269,3,1,1,0,0,0,0,0,1,0,1,1,1,9,2,2,2,1,3,2,9,9,9,9,2,1,1,3,3,6,18000,"24,650.00",10000,2,9,9,9,9,9,9,9,9,9,9,999,9,0,6000,0,0,1,1,474950,469950,39000,0,950,0,0,0,0,250000,0,0,10000,175000,170000,0,2,0,0,0,0,0,0,0,0,0,474950,469950,80,1,2
12,12,1341.6372,2,3,5,0,0,0,1,1,1,2,2,9,9,2,2,2,2,2,3,2,9,9,9,9,1,1,1,2,3,2,33000,"49,025.00",18000,1,2,1,2,2,2,2,2,2,2,9,999,9,0,6250,350,0,1,1,82650,82650,5000,0,0,0,0,0,0,35000,19000,650,9500,13500,13500,0,2,0,0,0,0,0,0,0,0,0,82650,82650,70,1,1
13,13,2644.5863,4,2,2,0,0,0,0,1,0,2,1,2,1,9,2,2,2,2,2,1,2,1,2,2,2,7,3,2,2,2,41000,"36,525.00",200,2,9,9,9,9,9,9,9,9,9,9,999,1,0,14000,3400,7500,2,2,236950,238950,0,0,0,0,0,20000,0,160000,0,14000,950,42000,44000,0,2,0,139000,125000,0,3500,0,10500,0,0,97950,99950,51,3,2
14,14,501.4147,4,1,1,0,0,0,0,1,0,0,1,2,1,9,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,6,350000,"351,600.00",8500,1,2,2,2,2,2,2,1,2,1,2,999,9,0,6500,1500,0,1,1,773000,763000,34000,0,0,0,0,170000,0,130000,175000,15000,19000,230000,220000,0,2,0,0,0,0,0,0,0,0,0,773000,763000,63,3,2
15,15,1570.3653,4,2,2,0,0,0,1,0,0,2,1,1,2,9,2,2,2,2,2,1,2,1,2,2,2,3,3,2,1,2,95000,"76,275.00",4700,9,9,9,9,9,9,9,9,9,9,9,999,9,0,14000,8000,2500,2,1,205500,205750,16500,0,0,0,0,4750,0,145000,0,0,30000,9250,9500,0,2,0,149900,125000,0,14000,0,0,4900,6000,55600,55850,29,2,1
16,16,1187.226,4,2,2,0,0,0,0,0,1,0,1,2,1,9,2,2,2,2,3,2,9,9,9,9,1,3,3,3,3,6,30000,"44,600.00",22000,1,2,2,1,2,1,2,2,2,2,9,999,9,0,8500,575,0,3,3,327750,347750,4750,0,0,0,0,0,0,0,0,2000,1000,320000,340000,0,2,0,0,0,0,0,0,0,0,0,327750,347750,77,1,1
